customer_id,registration_date,segment,region,channel_registered,age_band,first_transaction_date,last_transaction_date,total_transactions,total_value_ksh,monthly_active_months,status,preferred_product,value_flag,is_activated
CUS00893,2024-03-06,Mass Market,Eldoret,Mobile App,18-25,2024-03-21,2024-11-10,9,8656.64,3,Dormant,Bill Pay,,1
CUS00463,2024-06-16,Corporate,Nakuru,USSD,36-45,,,0,0.0,0,Dormant,Bill Pay,,0
CUS00949,2024-09-15,Mass Affluent,Nakuru,Mobile App,55+,2024-09-22,2024-12-04,9,75304.29,1,Active,Airtime,,1
CUS01697,2024-02-18,Mass Market,Mombasa,USSD,18-25,,2024-12-24,5,4429.28,2,Dormant,Mobile Transfer,,0
CUS00589,2024-07-20,Mass Affluent,Nakuru,Agent,55+,2024-08-02,2024-08-26,21,171847.05,2,Churned,Digital Loan,,1
CUS00721,2024-09-11,Mass Market,Nairobi,USSD,26-35,,,0,0.0,0,Dormant,Airtime,,0
CUS01245,2024-02-15,Mass Market,Eldoret,Mobile App,26-35,2024-03-05,2024-05-01,10,18551.09,3,Churned,Bill Pay,,1
CUS01014,2024-08-09,Mass Market,Nairobi,Mobile App,18-25,2024-08-13,2024-09-14,4,9897.49,1,Churned,Bill Pay,,1
CUS01119,2024-05-10,Mass Affluent,Kisumu,USSD,36-45,,,0,0.0,0,Dormant,Airtime,,0
CUS01000,2024-03-27,Mass Market,Mombasa,Mobile App,36-45,2024-03-30,2024-11-07,7,4377.66,2,Dormant,Airtime,,1
CUS00793,2024-05-24,Mass Market,Mombasa,Branch,18-25,,,0,0.0,0,Dormant,Digital Loan,,0
CUS01742,2024-04-08,Mass Market,Nairobi,USSD,36-45,,,0,0.0,0,Dormant,Merchant Pay,,0
CUS01702,2024-11-26,Mass Affluent,Kisumu,Agent,55+,2024-11-28,2024-12-28,8,81175.08,1,Active,Bill Pay,,1
CUS01263,2024-03-05,Mass Market,Nairobi,USSD,18-25,2024-03-20,2024-08-18,10,23780.21,3,Churned,Bill Pay,,1
CUS01948,2024-08-19,Mass Market,Nairobi,USSD,46-55,,,0,0.0,0,Dormant,Bill Pay,,0
CUS01469,2024-01-08,Mass Affluent,,USSD,18-25,2024-01-20,2024-02-21,20,0.0,4,Churned,Mobile Transfer,Review Required,1
CUS01658,2024-10-16,Mass Affluent,Eldoret,Agent,36-45,,,0,0.0,0,Dormant,Bill Pay,,0
CUS01916,2024-06-13,Mass Affluent,Nakuru,Mobile App,18-25,2024-06-27,2024-12-04,25,159489.08,4,Active,Mobile Transfer,,1
CUS00539,2024-01-08,Mass Market,Nairobi,Agent,18-25,2024-01-09,2024-01-31,23,17955.98,4,Churned,Mobile Transfer,,1
CUS01547,2024-11-21,SME,Mombasa,Mobile App,36-45,2024-12-02,2024-12-03,19,942183.6,1,Active,Bill Pay,,1
CUS00544,2024-03-24,Mass Market,Mombasa,Mobile App,26-35,2024-04-12,2024-05-16,14,35272.43,3,Churned,Mobile Transfer,,1
CUS01376,2024-10-30,SME,Kisumu,Agent,46-55,2024-10-31,2024-11-19,17,685738.84,1,Dormant,Merchant Pay,,1
CUS00874,2024-05-07,Mass Market,Nairobi,Branch,26-35,2024-05-09,2024-10-28,5,3213.97,2,Dormant,Mobile Transfer,,1
CUS01944,2024-10-23,Mass Market,Nairobi,Mobile App,36-45,2024-10-31,2024-12-02,5,4925.37,1,Active,Digital Loan,,1
CUS01450,2024-10-17,Mass Market,Kisumu,USSD,36-45,2024-10-24,2024-10-31,5,3620.9,1,Dormant,Mobile Transfer,,1
CUS00487,2024-11-14,Mass Market,Nairobi,Branch,36-45,2024-11-23,2024-12-23,3,6797.61,1,,Merchant Pay,,1
CUS01126,2024-04-30,Mass Affluent,Eldoret,Mobile App,26-35,2024-05-03,2024-09-14,34,224954.19,4,Churned,Bill Pay,,1
CUS00129,2024-09-11,Corporate,Nakuru,Branch,18-25,,,0,0.0,0,Dormant,Merchant Pay,,0
CUS01897,2024-08-27,SME,Kisumu,Branch,26-35,2024-08-30,2024-10-29,23,880832.58,2,Dormant,Bill Pay,,1
CUS00901,2024-02-06,Mass Affluent,Nairobi,Branch,55+,2024-02-24,2024-05-02,35,353702.6,4,Churned,Digital Loan,,1
CUS01201,2024-10-08,Mass Affluent,Nairobi,Mobile App,36-45,2024-10-12,2024-12-16,4,29277.2,1,Active,Bill Pay,,1
CUS01250,2024-03-28,Mass Market,Kisumu,Agent,36-45,,,0,0.0,0,Dormant,Bill Pay,,0
CUS01684,2024-04-19,Mass Market,Nairobi,Agent,46-55,,,0,0.0,0,Dormant,Mobile Transfer,,0
CUS01707,2024-05-14,Mass Market,Nairobi,Mobile App,26-35,,,0,0.0,0,Dormant,Airtime,,0
CUS00024,2024-10-16,Mass Market,Mombasa,USSD,36-45,2024-10-30,2024-12-30,4,3422.04,1,Active,Mobile Transfer,,1
CUS00030,2024-02-01,Mass Market,Kisumu,Mobile App,46-55,2024-02-03,2024-12-15,4,7865.86,2,Active,Mobile Transfer,,1
CUS01491,2024-09-09,Mass Market,Nairobi,Mobile App,26-35,2024-09-25,2024-11-01,4,10383.95,1,Dormant,Bill Pay,,1
CUS00773,2024-07-23,Mass Market,Nairobi,Mobile App,26-35,2024-08-10,2024-08-31,3,7614.24,1,Churned,Mobile Transfer,,1
CUS01028,2024-07-29,Mass Market,Mombasa,Mobile App,36-45,2024-08-12,2024-12-10,8,6745.37,2,Active,Bill Pay,,1
CUS01449,2024-01-02,Mass Affluent,Nairobi,USSD,36-45,2024-01-23,2024-02-27,66,852488.25,7,Churned,Airtime,,1
CUS00808,2024-02-08,Mass Affluent,Mombasa,Mobile App,36-45,2024-02-09,2024-07-01,53,221570.24,4,Churned,Airtime,,1
CUS01718,2024-10-31,Mass Affluent,Eldoret,Branch,26-35,2024-11-11,2024-11-13,7,22427.34,1,Dormant,Mobile Transfer,,1
CUS01321,2024-08-26,Mass Market,Kisumu,Mobile App,36-45,2024-09-13,2024-10-11,2,1669.88,1,Dormant,Bill Pay,,1
CUS01646,2024-05-27,Mass Market,Nairobi,USSD,18-25,2024-06-03,2024-07-19,7,5118.03,2,Churned,Merchant Pay,,1
CUS00064,2024-06-09,Mass Market,Nairobi,Agent,18-25,,,0,0.0,0,Dormant,Bill Pay,,0
CUS00057,2024-10-15,Mass Market,Mombasa,Mobile App,18-25,2024-11-04,2024-11-16,3,2038.58,1,Dormant,Bill Pay,,1
CUS00520,2024-08-16,Mass Market,Nakuru,Branch,26-35,,,0,0.0,0,Dormant,Bill Pay,,0
CUS00362,2024-09-04,Mass Affluent,Kisumu,Mobile App,36-45,2024-09-17,2024-11-08,12,95931.47,1,Dormant,Merchant Pay,,1
CUS00938,2024-07-08,Mass Affluent,Mombasa,USSD,55+,2024-07-27,2024-08-17,14,83750.81,3,Churned,Merchant Pay,,1
CUS01721,2024-01-18,Mass Affluent,Nairobi,Mobile App,26-35,2024-01-21,2024-11-03,38,414656.08,4,Dormant,Mobile Transfer,,1
CUS01400,2024-10-11,Mass Market,Nairobi,Agent,36-45,2024-10-22,2024-12-08,5,12471.52,1,Active,Mobile Transfer,,1
CUS01925,2024-06-04,Mass Market,Kisumu,Branch,26-35,2024-06-10,2024-07-08,11,28722.83,3,Churned,Airtime,,1
CUS00189,2024-01-01,SME,Nairobi,Mobile App,36-45,2024-01-14,2024-11-30,75,4390292.01,6,Dormant,Digital Loan,,1
CUS00705,2024-04-17,Mass Market,Mombasa,Agent,26-35,2024-04-29,2024-10-13,13,31365.55,3,Dormant,Bill Pay,,1
CUS01520,2024-03-30,Mass Market,Mombasa,Agent,18-25,2024-04-01,2024-08-14,6,6038.85,3,Churned,Mobile Transfer,,1
CUS00252,2024-09-22,Mass Market,Nairobi,USSD,26-35,,,0,0.0,0,Dormant,Merchant Pay,,0
CUS00257,2024-05-23,Mass Affluent,Kisumu,Agent,46-55,2024-06-07,2024-07-26,32,163777.86,4,Churned,Airtime,,1
CUS01932,2024-09-28,Mass Market,Nairobi,Mobile App,26-35,2024-10-11,2024-10-12,3,4615.79,1,Dormant,Airtime,,1
CUS01319,2024-11-12,Mass Market,Nairobi,Agent,18-25,2024-11-22,2024-12-28,2,2466.61,1,Active,Mobile Transfer,,1
CUS01145,2024-01-03,Mass Market,Nakuru,USSD,26-35,2024-01-04,2024-12-07,15,38646.54,4,Active,Bill Pay,,1
CUS00100,2024-10-23,Mass Affluent,Nairobi,Mobile App,46-55,,2024-12-30,12,115856.3,1,Dormant,Merchant Pay,,0
CUS01048,2024-05-14,Mass Market,Nairobi,USSD,46-55,2024-05-18,2024-08-14,8,11279.59,2,Churned,Bill Pay,,1
CUS00545,2024-01-29,Mass Market,Mombasa,Agent,46-55,2024-01-31,2024-06-01,10,19689.96,4,Churned,Airtime,,1
CUS00343,2024-09-25,Mass Affluent,Kisumu,Mobile App,26-35,2024-10-04,2024-10-09,4,24851.37,1,Dormant,Airtime,,1
CUS01947,2024-04-05,SME,Kisumu,Agent,36-45,2024-04-13,2024-07-03,62,909393.62,6,Churned,Airtime,,1
CUS00994,2024-01-17,Mass Market,Nairobi,USSD,36-45,2024-02-04,2024-06-20,21,51377.67,4,Churned,Merchant Pay,,1
CUS00671,2024-11-29,SME,Nakuru,Mobile App,55+,,,0,0.0,0,Dormant,Mobile Transfer,,0
CUS01877,2024-06-04,Mass Market,Mombasa,USSD,36-45,2024-06-16,2024-10-07,11,22601.05,2,Dormant,Bill Pay,,1
CUS00825,2024-10-11,Mass Market,Mombasa,Agent,26-35,2024-10-28,2024-11-22,2,5085.52,1,Dormant,Bill Pay,,1
CUS01565,2024-07-18,Mass Market,Mombasa,USSD,55+,2024-07-21,2024-12-21,5,13368.96,2,Active,Mobile Transfer,,1
CUS00788,2024-03-06,Mass Market,Nairobi,Agent,46-55,2024-03-12,2024-07-04,11,17546.91,2,Churned,Airtime,,1
CUS01426,2024-11-23,Mass Market,Nairobi,Branch,36-45,2024-12-13,2024-12-31,5,5184.0,1,Active,Airtime,,1
CUS00299,2024-01-15,Mass Market,Kisumu,USSD,26-35,,,0,0.0,0,Dormant,Airtime,,0
CUS00515,2024-10-09,SME,Mombasa,Mobile App,26-35,2024-10-15,2024-10-23,14,486803.63,1,Dormant,Bill Pay,,1
CUS01576,2024-01-14,Mass Market,Kisumu,Branch,36-45,2024-01-31,2024-02-04,15,9218.47,4,Churned,Airtime,,1
CUS01554,2024-04-21,Mass Market,Nairobi,Mobile App,36-45,,,0,0.0,0,Dormant,Airtime,,0
CUS01830,2024-02-24,Mass Market,Nairobi,Mobile App,55+,,,0,0.0,0,Dormant,Mobile Transfer,,0
CUS00423,2024-09-20,SME,Nairobi,Mobile App,18-25,2024-10-06,2024-11-05,10,192202.37,1,Dormant,Bill Pay,,1
CUS00308,2024-03-20,SME,Eldoret,Mobile App,36-45,,,0,0.0,0,Dormant,Bill Pay,,0
CUS00197,2024-02-06,SME,Mombasa,USSD,46-55,2024-02-24,2024-06-19,79,1801508.75,5,Churned,Digital Loan,,1
CUS01034,2024-01-18,Mass Market,Mombasa,USSD,18-25,2024-02-06,2024-12-10,7,13441.15,3,Active,Bill Pay,,1
CUS01282,2024-10-16,Mass Affluent,Kisumu,Mobile App,36-45,2024-10-31,2024-10-31,12,128399.66,1,Dormant,Digital Loan,,1
CUS00472,2024-11-20,Mass Market,Nakuru,Mobile App,18-25,2024-12-05,2024-12-24,4,3679.25,1,Active,Mobile Transfer,,1
CUS01872,2024-06-29,SME,Nairobi,USSD,26-35,2024-07-11,2024-09-14,30,1337643.31,2,Churned,Mobile Transfer,,1
CUS00945,2024-07-21,Mass Market,Nairobi,USSD,26-35,,,0,0.0,0,Dormant,Mobile Transfer,,0
CUS01023,2024-06-14,SME,Nairobi,USSD,26-35,,,0,0.0,0,Dormant,Airtime,,0
CUS01859,2024-07-01,Mass Market,Mombasa,Mobile App,55+,,,0,0.0,0,Dormant,Airtime,,0
CUS00271,2024-04-10,Mass Market,Eldoret,Branch,26-35,,,0,0.0,0,Dormant,Mobile Transfer,,0
CUS00765,2024-08-11,SME,Kisumu,USSD,46-55,2024-08-18,2024-12-18,34,1157036.32,2,Active,Airtime,,1
CUS01542,2024-03-04,Mass Market,Nairobi,Mobile App,26-35,2024-03-18,2024-07-26,11,8390.74,3,Churned,Merchant Pay,,1
CUS00496,2024-04-02,Corporate,Nairobi,Mobile App,26-35,2024-04-08,2024-06-07,193,44726823.49,6,Churned,Airtime,,1
CUS01288,2024-07-15,Mass Market,Mombasa,Mobile App,18-25,2024-07-25,2024-07-31,4,10388.45,1,Churned,Mobile Transfer,,1
CUS00439,2024-06-18,Mass Market,Nairobi,Agent,18-25,,,0,0.0,0,Dormant,Mobile Transfer,,0
CUS00988,2024-06-17,Mass Market,Mombasa,Agent,18-25,,,0,0.0,0,Dormant,Bill Pay,,0
CUS00071,2024-04-02,SME,Mombasa,Mobile App,46-55,2024-04-09,2024-05-18,55,3014493.51,6,Churned,Bill Pay,,1
CUS00276,2024-11-08,Mass Market,Eldoret,Mobile App,26-35,2024-11-10,2024-12-01,5,10636.08,1,Active,Mobile Transfer,,1
CUS00101,2024-08-21,Mass Market,Nairobi,Mobile App,26-35,2024-08-25,2024-09-28,3,5033.88,1,Churned,Mobile Transfer,,1
CUS01053,2024-10-31,Mass Market,Kisumu,Agent,36-45,,,0,0.0,0,Dormant,Bill Pay,,0
CUS01665,2024-01-01,Mass Affluent,Nairobi,Mobile App,36-45,2024-01-06,2024-04-12,50,302422.24,8,Churned,Mobile Transfer,,1
CUS01950,2024-03-19,Mass Market,Nairobi,Mobile App,26-35,2024-04-06,2024-09-18,8,21020.03,3,Churned,Mobile Transfer,,1
CUS01537,2024-02-23,Mass Market,Nakuru,Mobile App,26-35,2024-03-05,2024-09-25,14,28112.35,3,Churned,Digital Loan,,1
CUS01951,2024-04-16,Mass Market,Mombasa,Mobile App,18-25,2024-04-24,2024-06-25,10,10014.59,3,Churned,Mobile Transfer,,1
CUS00221,2024-03-23,Mass Market,Mombasa,Agent,36-45,2024-04-04,2024-08-10,13,24937.42,3,Churned,Mobile Transfer,,1
CUS00766,2024-09-18,Mass Market,Mombasa,Mobile App,36-45,,,0,0.0,0,Dormant,Digital Loan,,0
CUS01421,2024-01-25,Mass Affluent,Kisumu,Mobile App,46-55,2024-01-30,2024-05-22,37,392845.18,5,Churned,Bill Pay,,1
CUS00367,2024-04-07,Mass Market,Nairobi,Mobile App,36-45,2024-04-20,2024-08-30,8,4813.57,2,Churned,Airtime,,1
CUS01302,2024-10-08,Mass Affluent,Kisumu,Branch,18-25,2024-10-25,2024-11-15,11,133951.07,1,Dormant,Bill Pay,,1
CUS00234,2024-05-13,Mass Market,Eldoret,Branch,26-35,2024-05-23,2024-08-17,2,4185.27,1,Churned,Bill Pay,,1
CUS01134,2024-05-08,Mass Market,Nairobi,Agent,26-35,,,0,0.0,0,Dormant,Bill Pay,,0
CUS01269,2024-11-21,Mass Market,Mombasa,Mobile App,46-55,2024-11-25,2024-12-15,5,6405.48,1,Active,Bill Pay,,1
CUS01058,2024-02-24,Mass Market,Nairobi,Branch,36-45,2024-03-01,2024-12-16,14,28520.34,3,Active,Mobile Transfer,,1
CUS01325,2024-08-22,Mass Market,Kisumu,Mobile App,36-45,2024-09-01,2024-09-30,3,1817.85,1,Churned,Merchant Pay,,1
CUS00232,2024-11-25,Mass Market,Mombasa,Mobile App,18-25,,,0,0.0,0,Dormant,Mobile Transfer,,0
CUS00369,2024-01-22,Mass Market,Nairobi,Branch,55+,2024-02-06,2024-05-19,13,31247.72,3,Churned,Mobile Transfer,,1
CUS01810,2024-11-17,Mass Market,Kisumu,Mobile App,26-35,2024-12-01,2024-12-13,4,5314.72,1,Active,Bill Pay,,1
CUS00995,2024-06-08,Mass Affluent,Mombasa,Mobile App,18-25,,,0,0.0,0,Dormant,Bill Pay,,0
CUS00556,2024-03-21,Mass Market,Nairobi,Mobile App,55+,2024-04-08,2024-07-23,11,22093.25,3,Churned,Airtime,,1
CUS01821,2024-01-11,Mass Market,Mombasa,Mobile App,36-45,2024-01-25,2024-09-13,22,41821.5,4,Churned,Digital Loan,,1
CUS01954,2024-03-26,Mass Market,Kisumu,USSD,46-55,2024-03-31,2024-08-29,10,13696.98,2,Churned,Merchant Pay,,1
CUS00889,2024-10-18,Mass Market,Kisumu,USSD,55+,2024-10-21,2024-12-06,4,9484.21,1,Active,Airtime,,1
CUS01814,2024-07-23,Mass Market,Eldoret,Mobile App,26-35,2024-08-07,2024-10-19,2,5015.19,1,Dormant,Mobile Transfer,,1
CUS00066,2024-10-26,Mass Market,Nakuru,USSD,18-25,2024-11-06,2024-11-25,5,10107.34,1,Dormant,Mobile Transfer,,1
CUS00586,2024-07-23,Mass Affluent,Nairobi,Mobile App,36-45,2024-07-26,2024-11-29,11,49104.68,2,Dormant,Mobile Transfer,,1
CUS01188,2024-04-04,Mass Market,Nairobi,USSD,55+,2024-04-18,2024-06-12,11,8711.88,2,Churned,Mobile Transfer,,1
CUS01603,2024-01-22,Mass Market,Nairobi,Agent,36-45,,,0,0.0,0,Dormant,Mobile Transfer,,0
CUS01739,2024-11-25,Mass Market,Nairobi,Mobile App,18-25,2024-12-12,2024-12-24,3,6617.24,1,Active,Digital Loan,,1
CUS00807,2024-03-23,SME,Nairobi,Mobile App,46-55,2024-03-31,2024-07-07,82,4871364.67,5,Churned,Bill Pay,,1
CUS01927,2024-01-30,Mass Market,Eldoret,Mobile App,26-35,2024-02-04,2024-04-11,14,21440.81,4,Churned,Airtime,,1
CUS00716,2024-09-17,Mass Market,Nairobi,Mobile App,18-25,2024-09-22,2024-09-25,2,3850.5,1,Churned,Mobile Transfer,,1
CUS00747,2024-07-09,Mass Market,Mombasa,Mobile App,18-25,2024-07-12,2024-07-22,5,11794.04,2,Churned,Mobile Transfer,,1
CUS00355,2024-03-02,Mass Affluent,Nakuru,Mobile App,36-45,2024-03-05,2024-08-16,46,462921.65,5,Churned,Mobile Transfer,,1
CUS01231,2024-02-28,SME,Nairobi,Branch,46-55,2024-03-15,2024-11-14,88,1270630.75,6,Dormant,Mobile Transfer,,1
CUS01600,2024-03-11,Mass Market,Eldoret,USSD,36-45,,,0,0.0,0,Dormant,Merchant Pay,,0
CUS00307,2024-06-28,Mass Market,Nairobi,Mobile App,26-35,2024-07-13,2024-12-27,4,5061.89,2,Active,Mobile Transfer,,1
CUS00484,2024-10-10,Mass Market,Kisumu,USSD,26-35,,,0,0.0,0,Dormant,Merchant Pay,,0
CUS00395,2024-03-11,Mass Market,Mombasa,Mobile App,26-35,2024-03-12,2024-08-24,10,17863.55,3,Churned,Mobile Transfer,,1
CUS01694,2024-11-17,Mass Market,Eldoret,Branch,36-45,,,0,0.0,0,Dormant,Bill Pay,,0
CUS00603,2024-03-17,Mass Market,Nairobi,Agent,18-25,2024-03-21,2024-05-20,14,11155.77,3,Churned,Airtime,,1
CUS00655,2024-08-23,Mass Affluent,Nakuru,Branch,36-45,2024-08-30,2024-12-04,26,317662.26,2,Active,Merchant Pay,,1
CUS01512,2024-09-22,Mass Affluent,Nairobi,USSD,36-45,2024-10-12,2024-12-27,10,33143.85,1,Active,Merchant Pay,,1
CUS00306,2024-08-30,Mass Market,Mombasa,Mobile App,26-35,2024-09-02,2024-11-17,3,4914.47,1,Dormant,Bill Pay,,1
CUS01494,2024-01-01,Corporate,Nakuru,Agent,36-45,2024-01-02,2024-08-21,265,72645402.24,9,Churned,Airtime,,1
CUS01732,2024-08-12,Mass Market,Nairobi,Mobile App,18-25,2024-08-28,2024-09-19,5,12537.97,1,Churned,Airtime,,1
CUS00116,2024-08-24,SME,Mombasa,Mobile App,26-35,2024-08-30,2024-09-01,13,503541.46,1,Churned,Merchant Pay,,1
CUS01044,2024-05-19,SME,Mombasa,Branch,26-35,,,0,0.0,0,Dormant,Merchant Pay,,0
CUS01677,2024-10-30,SME,Nairobi,Mobile App,26-35,2024-11-02,2024-12-26,11,563738.5,1,Active,Mobile Transfer,,1
CUS01564,2024-04-08,Mass Market,Nakuru,Mobile App,18-25,,,0,0.0,0,Dormant,Mobile Transfer,,0
CUS01331,2024-03-06,SME,Kisumu,Mobile App,18-25,2024-03-18,2024-09-29,59,3628726.05,4,Churned,Mobile Transfer,,1
CUS01006,2024-06-28,Mass Market,Nairobi,Mobile App,36-45,2024-07-17,2024-10-27,9,15790.96,2,Dormant,Airtime,,1
CUS00781,2024-11-10,Mass Affluent,Mombasa,Agent,36-45,2024-11-15,2024-12-19,7,69590.58,1,Active,Merchant Pay,,1
